Category,NaturalLanguageQuestion,CypherQuery,CypherToQuestion,ExpectedNodeLabels,ExpectedRelationshipTypes,ExpectedProperties,Hops,ExtractedPropertyValues
Conditional and Boolean Queries,"Find CVEs that grant all privileges AND require user interaction, but have NO evaluator solution.",MATCH (c:UcoCVE) WHERE c.ucoobtainAllPrivilege = 'true' AND c.ucouserInteractionRequired = 'true' AND c.ucoevaluatorSolution IS NULL RETURN c.ucovectorString,"Find UcoCVE nodes where ucoobtainAllPrivilege is true, ucouserInteractionRequired is true, AND the ucoevaluatorSolution property is null, then return the vector string.","[""UcoCVE""]",[],"[""ucoevaluatorSolution"", ""ucoobtainAllPrivilege"", ""ucouserInteractionRequired"", ""ucovectorString""]",0,"[""true""]"
Conditional and Boolean Queries,List MITRE ATT&CK techniques that have a URL but NO description.,MATCH (a:UcoexMITREATTACK) WHERE a.ucoexURL IS NOT NULL AND a.ucoexDESCRIPTION IS NULL RETURN a.ucoexURL,"Find UcoexMITREATTACK nodes that have a ucoexURL property but do NOT have a ucoexDESCRIPTION property, then return the URL.","[""UcoexMITREATTACK""]",[],"[""ucoexDESCRIPTION"", ""ucoexURL""]",0,[]
Existence and Set Operations Queries,Find all tactics that are missing a description.,MATCH (t:UcoexTACTICS) WHERE t.ucoexDESCRIPTION IS NULL RETURN t.ucoexNAME,"Find all UcoexTACTICS nodes where the ucoexDESCRIPTION property is null, and return the tactic's name.","[""UcoexTACTICS""]",[],"[""ucoexDESCRIPTION"", ""ucoexNAME""]",0,[]
Path Queries (Variable-length),Find the shortest path between a specific Exploit Target (by URI) and a specific CPE (by name).,MATCH p = shortestPath((t:UcoExploitTarget {uri: 'http://example.com/target'})-[*..3]-(c:UcoexCPE {cpeNameId: 'cpe:2.3:o:microsoft:windows_10'})) RETURN p,What is the most direct connection (in 3 steps or less) between the specific target 'http://example.com/target' and the software 'cpe:2.3:o:microsoft:windows_10'?,"[""UcoExploitTarget"", ""UcoexCPE""]",[],"[""cpeNameId"", ""uri""]",1,"[""cpe:2.3:o:microsoft:windows_10"", ""http://example.com/target""]"
Path Queries (Variable-length),Find all paths (up to 4 steps) from a specific Exploit Target (by URI) to any MITRE ATT&CK technique.,"MATCH p = (t:UcoExploitTarget {uri: 'http://example.com/target'})-[*..4]-(a:UcoexMITREATTACK) RETURN p, a.ucoexDESCRIPTION",In what ways (up to 4 steps) is the target 'http://example.com/target' connected to any known MITRE ATT&CK hacking technique? Show the connection and the technique's description.,"[""UcoExploitTarget"", ""UcoexMITREATTACK""]",[],"[""ucoexDESCRIPTION"", ""uri""]",1,"[""http://example.com/target""]"
Path Queries (Variable-length),What is the shortest path connecting any Campaign to a CPE for 'microsoft:windows_10'?,"MATCH p = shortestPath((c:UcoexCAMPAIGNS)-[*..6]-(e:UcoexCPE {cpeNameId: 'cpe:2.3:o:microsoft:windows_10'})) RETURN p, c.ucoexDESCRIPTION",What is the most direct link (in 6 steps or less) between *any* documented campaign and the 'microsoft:windows_10' software? Show the link and the campaign's description.,"[""UcoexCAMPAIGNS"", ""UcoexCPE""]",[],"[""cpeNameId"", ""ucoexDESCRIPTION""]",1,"[""cpe:2.3:o:microsoft:windows_10""]"
Path Queries (Variable-length),Find the shortest path between two distinct threat groups (based on description).,MATCH p = shortestPath((g1:UcoexGROUPS {ucoexDESCRIPTION: 'Description of Group A'})-[*..5]-(g2:UcoexGROUPS {ucoexDESCRIPTION: 'Description of Group B'})) WHERE g1 <> g2 RETURN p,How are 'Group A' and 'Group B' connected in the data? Find the shortest path (up to 5 steps) linking these two distinct groups.,"[""UcoexGROUPS""]",[],"[""ucoexDESCRIPTION""]",1,"[""Description of Group A"", ""Description of Group B""]"
Path Queries (Variable-length),Show the shortest path (can be up to 6 hops) from a Mitigation (by description) to a Vulnerability (by published date '2023-01-01').,MATCH p = shortestPath((m:UcoexMITIGATIONS)-[*..6]-(v:UcoVulnerability {ucopublishedDateTime: '2023-01-01T00:00:00Z'})) RETURN p,What is the most direct connection (6 steps or less) between the mitigation 'Apply patches' and the vulnerability published on '2023-01-01'?,"[""UcoVulnerability"", ""UcoexMITIGATIONS""]",[],"[""ucopublishedDateTime""]",1,"[""2023-01-01T00:00:00Z""]"
Path Queries (Variable-length),Find all paths (up to 3 hops) connecting a specific CWE (by name) to any D3FEND technique.,"MATCH p = (c:UcoCWE {ucocweName: 'CWE-79'})-[*..3]-(d:UcoexMITRED3FEND) RETURN p, d.ucoexMITRED3FEND_DEFINITION",How does the weakness 'CWE-79' relate to any defensive D3FEND techniques? Show all connection paths (up to 3 steps) and the definition of the defense.,"[""UcoCWE"", ""UcoexMITRED3FEND""]",[],"[""ucocweName"", ""ucoexMITRED3FEND_DEFINITION""]",1,"[""CWE-79""]"
Path Queries (Variable-length),Find all paths (up to 3 hops) from a specific CAPEC (by name) to any observed CVE.,"MATCH p = (c:UcoexCAPEC {ucoexCAPEC_name: 'CAPEC-100'})-[*..3]->(v:UcoCVE) RETURN p, v.ucovectorString",Show all the ways (in 3 steps or less) that the attack pattern 'CAPEC-100' leads to or is associated with any specific CVE vulnerability. Return the path and the CVE's vector string.,"[""UcoCVE"", ""UcoexCAPEC""]",[],"[""ucoexCAPEC_name"", ""ucovectorString""]",1,"[""CAPEC-100""]"
Path Queries (Variable-length),Find the shortest path from a specific CPE (by name) to any available mitigation.,"MATCH p = shortestPath((c:UcoexCPE {cpeNameId: 'cpe:2.3:o:microsoft:windows_10'})-[*..6]-(m:UcoexMITIGATIONS)) RETURN p, m.ucoexDESCRIPTION",What is the most direct path (6 steps or less) from the 'microsoft:windows_10' software to *any* available mitigation? Show the path and the mitigation's description.,"[""UcoexCPE"", ""UcoexMITIGATIONS""]",[],"[""cpeNameId"", ""ucoexDESCRIPTION""]",1,"[""cpe:2.3:o:microsoft:windows_10""]"
Relationship Traversal Queries,Find the CVE associated with the Observed Example URI 'http://example.com/obs1'.,"MATCH (o:UcoexObservedExample {uri: 'http://example.com/obs1'})-[:UCOEXEXAMPLEOBSERVEDIN]->(c:UcoCVE) RETURN c.ucovectorString, c.ucovulnStatus","For the specific observed example 'http://example.com/obs1', what vulnerability (CVE) is it an example of? Show the CVE's vector string and status.","[""UcoCVE"", ""UcoexObservedExample""]","[""UCOEXEXAMPLEOBSERVEDIN""]","[""ucovectorString"", ""ucovulnStatus"", ""uri""]",1,"[""http://example.com/obs1""]"
Relationship Traversal Queries,List all Observed Example URIs for the CVE with vector 'CVSS:3.1/AV:N/AC:L...'.,MATCH (o:UcoexObservedExample)-[:UCOEXEXAMPLEOBSERVEDIN]->(c:UcoCVE {ucovectorString: 'CVSS:3.1/AV:N/AC:L...'}) RETURN o.uri,"For the specific vulnerability (CVE) with the vector 'CVSS:3.1/AV:N/AC:L...', what real-world examples (by URI) do we have in the database?","[""UcoCVE"", ""UcoexObservedExample""]","[""UCOEXEXAMPLEOBSERVEDIN""]","[""ucovectorString"", ""uri""]",1,"[""CVSS:3.1/AV:N/AC:L...""]"
Relationship Traversal Queries,What MITRE ATT&CK techniques are mapped from 'CAPEC-100: SQL Injection'?,"MATCH (c:UcoexCAPEC {ucoexCAPEC_name: 'CAPEC-100: SQL Injection'})-[:UCOEXHASTAXONOMYMAPPING]->(a:UcoexMITREATTACK) RETURN a.ucoexDESCRIPTION, a.uri","If an attacker uses the 'CAPEC-100: SQL Injection' pattern, what specific MITRE ATT&CK hacking techniques does this relate to? Show the technique's description and URI.","[""UcoexCAPEC"", ""UcoexMITREATTACK""]","[""UCOEXHASTAXONOMYMAPPING""]","[""ucoexCAPEC_name"", ""ucoexDESCRIPTION"", ""uri""]",1,"[""CAPEC-100: SQL Injection""]"
Relationship Traversal Queries,Which CAPECs map to the MITRE ATT&CK technique URI 'http://mitre.org/attack/T1548'?,"MATCH (c:UcoexCAPEC)-[:UCOEXHASTAXONOMYMAPPING]->(a:UcoexMITREATTACK {uri: 'http://mitre.org/attack/T1548'}) RETURN c.ucoexCAPEC_name, c.ucoexDescription",What attack patterns (CAPECs) are related to the specific MITRE ATT&CK technique 'http://mitre.org/attack/T1548'? Show the CAPEC's name and description.,"[""UcoexCAPEC"", ""UcoexMITREATTACK""]","[""UCOEXHASTAXONOMYMAPPING""]","[""ucoexCAPEC_name"", ""ucoexDescription"", ""uri""]",1,"[""http://mitre.org/attack/T1548""]"
Relationship Traversal Queries,What MITRE ATT&CK techniques are used by 'Cobalt Strike'?,"MATCH (s:UcoexSOFTWARE {ucoexDESCRIPTION: 'Cobalt Strike'})-[:UCOEXSOFTWAREUSESTECHNIQUE]->(a:UcoexMITREATTACK) RETURN a.ucoexDESCRIPTION, a.uri",What specific hacking techniques (MITRE ATT&CK) are known to be used by the 'Cobalt Strike' software? Show the technique's description and URI.,"[""UcoexMITREATTACK"", ""UcoexSOFTWARE""]","[""UCOEXSOFTWAREUSESTECHNIQUE""]","[""ucoexDESCRIPTION"", ""uri""]",1,"[""Cobalt Strike""]"
Relationship Traversal Queries,What software uses the MITRE ATT&CK technique URI 'http://mitre.org/attack/T1059' (Command-Line Interface)?,"MATCH (s:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(a:UcoexMITREATTACK {uri: 'http://mitre.org/attack/T1059'}) RETURN s.ucoexDESCRIPTION, s.uri",What malware or tools (software) are known to use the 'Command-Line Interface' technique (T1059)? Show the software's description and URI.,"[""UcoexMITREATTACK"", ""UcoexSOFTWARE""]","[""UCOEXSOFTWAREUSESTECHNIQUE""]","[""ucoexDESCRIPTION"", ""uri""]",1,"[""http://mitre.org/attack/T1059""]"
Relationship Traversal Queries,Find software that uses MITRE ATT&CK techniques mapped from 'CAPEC-100: SQL Injection'.,"MATCH (s:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(a:UcoexMITREATTACK)<-[:UCOEXHASTAXONOMYMAPPING]-(c:UcoexCAPEC {ucoexCAPEC_name: 'CAPEC-100: SQL Injection'}) RETURN DISTINCT s.ucoexDESCRIPTION, a.ucoexDESCRIPTION","Show me software (s) that uses a technique (a) which, in turn, is related to the 'SQL Injection' attack pattern (c). Return the distinct software and technique descriptions.","[""UcoexCAPEC"", ""UcoexMITREATTACK"", ""UcoexSOFTWARE""]","[""UCOEXHASTAXONOMYMAPPING"", ""UCOEXSOFTWAREUSESTECHNIQUE""]","[""ucoexCAPEC_name"", ""ucoexDESCRIPTION""]",2,"[""CAPEC-100: SQL Injection""]"
Node Lookup Queries,Find the Exploit Target with the URI 'http://example.com/target1'.,MATCH (n:UcoExploitTarget {uri: 'http://example.com/target1'}) RETURN n,Show me all the information for the specific exploit target with the URI 'http://example.com/target1'.,"[""UcoExploitTarget""]",[],"[""uri""]",0,"[""http://example.com/target1""]"
Node Lookup Queries,Find all Exploit Targets whose URI contains 'gov'.,MATCH (n:UcoExploitTarget) WHERE n.uri CONTAINS 'gov' RETURN n.uri,Which exploit target URIs have the text 'gov' in them?,"[""UcoExploitTarget""]",[],"[""uri""]",0,"[""gov""]"
Node Lookup Queries,Find the CPE record for 'cpe:2.3:o:microsoft:windows_10'.,MATCH (n:UcoexCPE {cpeNameId: 'cpe:2.3:o:microsoft:windows_10'}) RETURN n,Show all data for the specific software record (CPE) identified by 'cpe:2.3:o:microsoft:windows_10'.,"[""UcoexCPE""]",[],"[""cpeNameId""]",0,"[""cpe:2.3:o:microsoft:windows_10""]"
Node Lookup Queries,Get the CPE details for the name 'Microsoft Windows 10'.,"MATCH (n:UcoexCPE {cpeName: 'Microsoft Windows 10'}) RETURN n.cpeNameId, n.titles, n.lastModified","For the software entry named 'Microsoft Windows 10', what is its CPE ID, list of titles, and last modified date?","[""UcoexCPE""]",[],"[""cpeName"", ""cpeNameId"", ""lastModified"", ""titles""]",0,"[""Microsoft Windows 10""]"
Node Lookup Queries,Find all CPEs last modified on '2023-10-27T18:10:00Z'.,"MATCH (n:UcoexCPE {lastModified: '2023-10-27T18:10:00Z'}) RETURN n.cpeNameId, n.titles",Which software records (CPEs) were last modified at the exact time '2023-10-27T18:10:00Z'? Show their ID and titles.,"[""UcoexCPE""]",[],"[""cpeNameId"", ""lastModified"", ""titles""]",0,"[""2023-10-27T18:10:00Z""]"
Node Lookup Queries,Get the definition for the MITRE D3FEND technique labeled 'D3FEND-Label-123'.,MATCH (n:UcoexMITRED3FEND {ucoexMITRED3FEND_LABEL: 'D3FEND-Label-123'}) RETURN n.ucoexMITRED3FEND_DEFINITION,What is the definition for the MITRE D3FEND defense technique with the label 'D3FEND-Label-123'?,"[""UcoexMITRED3FEND""]",[],"[""ucoexMITRED3FEND_DEFINITION"", ""ucoexMITRED3FEND_LABEL""]",0,"[""D3FEND-Label-123""]"
Node Lookup Queries,Find the Observed Example with the description 'Attacker seen using PowerShell'.,MATCH (n:UcoexObservedExample) WHERE n.ucoexDESCRIPTION CONTAINS 'Attacker seen using PowerShell' RETURN n,Find any real-world examples where the description contains 'Attacker seen using PowerShell' and show all details for them.,"[""UcoexObservedExample""]",[],"[""ucoexDESCRIPTION""]",0,"[""Attacker seen using PowerShell""]"
Node Lookup Queries,Find all Observed Examples that mention 'lateral movement'.,MATCH (n:UcoexObservedExample) WHERE n.ucoexDESCRIPTION CONTAINS 'lateral movement' RETURN n.ucoexDESCRIPTION,Which real-world example descriptions mention 'lateral movement'?,"[""UcoexObservedExample""]",[],"[""ucoexDESCRIPTION""]",0,"[""lateral movement""]"
Node Lookup Queries,List all Tactics in the 'Enterprise' domain.,"MATCH (n:UcoexTACTICS {ucoexDOMAIN: 'Enterprise'}) RETURN n.ucoexNAME, n.ucoexDESCRIPTION","Show me all tactics that are part of the 'Enterprise' domain, along with their names and descriptions.","[""UcoexTACTICS""]",[],"[""ucoexDESCRIPTION"", ""ucoexDOMAIN"", ""ucoexNAME""]",0,"[""Enterprise""]"
Node Lookup Queries,Get the details for the Tactic with the URL 'https://attack.mitre.org/tactics/TA0001/'.,"MATCH (n:UcoexTACTICS {ucoexURL: 'https://attack.mitre.org/tactics/TA0001/'}) RETURN n.ucoexNAME, n.ucoexDESCRIPTION",What is the name and description for the tactic found at the URL 'https://attack.mitre.org/tactics/TA0001/'?,"[""UcoexTACTICS""]",[],"[""ucoexDESCRIPTION"", ""ucoexNAME"", ""ucoexURL""]",0,"[""https://attack.mitre.org/tactics/TA0001/""]"
