id,category,question,gold,full_pred,semantic_pred
84,Node Lookup Queries,Show 'HIGH' severity vulnerabilities that don't require user interaction.,"MATCH (v:UcoVulnerability {ucobaseSeverity: 'HIGH', ucouserInteractionRequired: 'false'}) RETURN v",MATCH (cve:UcoCVE) WHERE cve.ucobaseSeverity = 'HIGH' AND NOT(cve.ucouserInteractionRequired = true) RETURN cve LIMIT 10,MATCH (v:UcoVulnerability)-[:UCOHASCVE_ID]->(cv:UcoCVE {ucobaseSeverity: 'HIGH'}) WHERE cv.ucoexploitabilityScore = 'LOW' AND v.ucointeractionRequired = 'None' RETURN DISTINCT v.ucosummary
85,Node Lookup Queries,Search vulnerability summaries for 'IoT device'.,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'IoT device' RETURN v,MATCH (vuln:UcoVulnerability) WHERE vuln.ucosummary CONTAINS 'IoT device' RETURN DISTINCT vuln LIMIT 10,"MATCH (v:UcoVulnerability) WHERE CONTAINS(v.ucosummary, 'IoT device') RETURN v.ucosummary AS summary LIMIT 100"
86,Node Lookup Queries,Search vulnerability summaries for 'blind SQL injection'.,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'blind SQL injection' RETURN v,MATCH (vuln:UcoVulnerability) WHERE vuln.ucosummary CONTAINS 'blind SQL injection' RETURN DISTINCT vuln LIMIT 10,"MATCH (v:UcoVulnerability) WHERE CONTAINS(v.ucosummary, ""blind SQL injection"") RETURN DISTINCT v.ucosummary AS summary LIMIT 100"
87,Node Lookup Queries,Search vulnerability summaries for 'time-based SQL injection'.,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'time-based SQL injection' RETURN v,MATCH (vuln:UcoVulnerability) WHERE vuln.ucosummary CONTAINS 'time-based SQL injection' RETURN vuln LIMIT 10,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'time-based SQL injection' RETURN DISTINCT v.ucosummary
88,Node Lookup Queries,Search vulnerability summaries for 'error-based SQL injection'.,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'error-based SQL injection' RETURN v,MATCH (vulnerability:UcoVulnerability) WHERE vulnerability.ucosummary CONTAINS 'error-based SQL injection' RETURN vulnerability LIMIT 10,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'error-based SQL injection' RETURN DISTINCT v.ucosummary
89,Node Lookup Queries,Search vulnerability summaries for 'out-of-band SQL injection'.,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'out-of-band SQL injection' RETURN v,MATCH (vuln:UcoVulnerability) WHERE vuln.ucosummary CONTAINS 'out-of-band SQL injection' RETURN vuln LIMIT 10,MATCH (v:UcoVulnerability) WHERE v.ucosummary CONTAINS 'out-of-band SQL injection' RETURN DISTINCT v.ucosummary
90,Node Lookup Queries,Pull the record for CWE-120.,MATCH (c:UcoCWE {ucocweID: 'CWE-120'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweID = 'CWE-120' RETURN cwe,MATCH (c:UcoCWE {label: 'CWE-120'}) RETURN c
91,Node Lookup Queries,Find the weakness named 'Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')'.,MATCH (c:UcoCWE {ucocweName: 'Buffer Copy without Checking Size of Input (\'Classic Buffer Overflow\')'}) RETURN c,"MATCH (cwe:UcoCWE) WHERE cwe.ucocweName = ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"" RETURN cwe","MATCH (w:UcoCWE {Name: ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')""}) RETURN w"
92,Node Lookup Queries,Show 'Pillar' level CWEs that are still in 'Draft' status.,"MATCH (c:UcoCWE {ucoabstraction: 'Pillar', ucostatus: 'Draft'}) RETURN c",MATCH (cwe:UcoCWE) WHERE cwe.ucobaseSeverity = 'pillar' AND cwe.ucostatus = 'Draft' RETURN cwe,"MATCH (w:UcoCWE {ucoexStatus: 'Draft', ucoexWeakness_Abstraction: 'Pillar'}) RETURN DISTINCT w.ucoexID, w.ucoexName LIMIT 100"
93,Node Lookup Queries,Pull the record for CWE-416.,MATCH (c:UcoCWE {ucocweID: 'CWE-416'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweID = 'CWE-416' RETURN cwe,MATCH (c:UcoexCWE {label: 'CWE-416'}) RETURN c LIMIT 1
94,Node Lookup Queries,Find the weakness named 'Use After Free'.,MATCH (c:UcoCWE {ucocweName: 'Use After Free'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweName = 'Use After Free' RETURN cwe,MATCH (w:UcoCWE {name:'Use After Free'}) RETURN w
95,Node Lookup Queries,Find weakness types (CWEs) related to 'denial of service'.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'denial of service' RETURN c,MATCH (cwe:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(observed_example:UcoexObservedExample) WHERE observed_example.ucoexDESCRIPTION CONTAINS 'Denial of Service' RETURN DISTINCT cwe LIMIT 10,MATCH (w:UcoCWE {name: 'Denial of Service'})<-[:UCOHASRELATEDWEAKNESS]-(a:UcoexCAPEC) RETURN DISTINCT w
96,Node Lookup Queries,Pull the record for CWE-404.,MATCH (c:UcoCWE {ucocweID: 'CWE-404'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweID = 'CWE-404' RETURN cwe LIMIT 1,MATCH (w:UcoCWE {ucocweID: 'CWE-404'}) RETURN w
97,Node Lookup Queries,"List 'Variant' level, 'Stable' status, 'Composite' structure CWEs.","MATCH (c:UcoCWE {ucoabstraction: 'Variant', ucostatus: 'Stable', ucostructure: 'Composite'}) RETURN c",MATCH (cwe:UcoCWE) WHERE cwe.ucoabstraction = 'Variant' AND cwe.ucostatus = 'Stable' AND cwe.ucostructure = 'Composite' RETURN cwe,MATCH (cwe:UcoCWE) WHERE cwe.ucoType = 'Variant' AND cwe.ucovulnStatus = 'Stable' AND cwe.ucoStructure = 'Composite' RETURN DISTINCT cwe LIMIT 10
98,Node Lookup Queries,Pull the record for CWE-384.,MATCH (c:UcoCWE {ucocweID: 'CWE-384'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweID = 'CWE-384' RETURN cwe,MATCH (v:UcoVulnerability {label: 'CWE-384'}) RETURN v LIMIT 1
99,Node Lookup Queries,"List 'Compound' level, 'Incomplete' status, 'Composite' structure CWEs.","MATCH (c:UcoCWE {ucoabstraction: 'Compound', ucostatus: 'Incomplete', ucostructure: 'Composite'}) RETURN c","MATCH (cwe:UcoCWE) WHERE cwe.ucoabstraction = ""Compound"" AND cwe.ucostatus = ""Incomplete"" AND cwe.ucostructure = ""Composite"" RETURN cwe","MATCH (w:UcoCWE) WHERE w.ucocweClass = ""Compound"" AND w.ucoStatus = ""Incomplete"" AND w.ucoStructure = ""Composite"" RETURN DISTINCT w LIMIT 100"
100,Node Lookup Queries,Pull the record for CWE-1004.,MATCH (c:UcoCWE {ucocweID: 'CWE-1004'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweID = 'CWE-1004' RETURN cwe,MATCH (w:UcoCWE {cweId: 'CWE-1004'}) RETURN w
101,Node Lookup Queries,Pull the record for CWE-1035.,MATCH (c:UcoCWE {ucocweID: 'CWE-1035'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweID = 'CWE-1035' RETURN cwe,MATCH (w:UcoCWE {ucocweID: 'CWE-1035'}) RETURN w
102,Node Lookup Queries,List all 'Pillar' level CWEs.,MATCH (c:UcoCWE {ucoabstraction: 'Pillar'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucostructure = 'pillar' RETURN cwe LIMIT 10,"MATCH (w:UcoCWE {ucoexDOMAIN: ""Pillar""}) RETURN DISTINCT w.ucoexID, w.ucoexNAME LIMIT 1000"
103,Node Lookup Queries,List all 'Class' level CWEs.,MATCH (c:UcoCWE {ucoabstraction: 'Class'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucoabstraction = 'Class' RETURN cwe LIMIT 10,"MATCH (w:UcoCWE) WHERE w.ucoexSEVERITY = ""Class"" RETURN DISTINCT w LIMIT 1000"
104,Node Lookup Queries,Show me all 'Base' level CWEs.,MATCH (c:UcoCWE {ucoabstraction: 'Base'}) RETURN c,"MATCH (cwe:UcoCWE) WHERE cwe.ucoabstraction = ""Base"" RETURN cwe LIMIT 10","MATCH (w:UcoCWE {ucoexSEVERITY: ""Base""}) RETURN w.ucoexDESCRIPTION, w.ucoexNAME LIMIT 100"
105,Node Lookup Queries,List all 'Compound' abstraction CWEs.,MATCH (c:UcoCWE {ucoabstraction: 'Compound'}) RETURN c,"MATCH (cwe:UcoCWE) WHERE cwe.ucoabstraction = ""Compound"" RETURN cwe LIMIT 10",MATCH (w:UcoCWE {ucoabstraction: 'Compound'}) RETURN w.ucoCWE_id LIMIT 100
106,Node Lookup Queries,List all CWEs that have a 'Composite' structure.,MATCH (c:UcoCWE {ucostructure: 'Composite'}) RETURN c,"MATCH (cwe:UcoCWE) WHERE cwe.ucostructure = ""Composite"" RETURN cwe LIMIT 10","MATCH (w:UcoCWE {ucoexType: ""Composite""}) RETURN w.ucoexID AS cwe_id, w.ucoexNAME AS cwe_name LIMIT 1000"
107,Node Lookup Queries,Pull the record for the 'Improper Authentication' weakness.,MATCH (c:UcoCWE {ucocweName: 'Improper Authentication'}) RETURN c,"MATCH (cwe:UcoCWE) WHERE cwe.ucocweName = ""Improper Authentication"" RETURN cwe",MATCH (w:UcoCWE {ucoexNAME: 'Improper Authentication'}) RETURN w
108,Node Lookup Queries,Find information on 'Code Injection' weaknesses.,MATCH (c:UcoCWE {ucocweName: 'Code Injection'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweName CONTAINS 'Code Injection' RETURN cwe LIMIT 10,"MATCH (cwe:UcoCWE {name: ""Code Injection""}) RETURN cwe.ucocweID, cwe.summary, cwe.description, cwe.mitigations, cwe.references"
109,Node Lookup Queries,Pull the record for 'Missing Authorization'.,MATCH (c:UcoCWE {ucocweName: 'Missing Authorization'}) RETURN c,"MATCH (cwe:UcoCWE {ucocweName:""Missing Authorization""}) RETURN cwe",MATCH (t:UcoexMITREATTACK {ucoexNAME: 'Missing Authorization'}) RETURN t
110,Node Lookup Queries,Show me information about 'Unrestricted Upload of File with Dangerous Type'.,MATCH (c:UcoCWE {ucocweName: 'Unrestricted Upload of File with Dangerous Type'}) RETURN c,"MATCH (capec:UcoexCAPEC) WHERE capec.ucoexName = ""Unrestricted Upload of File with Dangerous Type"" RETURN capec LIMIT 1","MATCH (v:Vulnerability {name: 'Unrestricted Upload of File with Dangerous Type'})-[:UCOHASCVE_ID]->(c:UcoCVE) RETURN c, v"
111,Node Lookup Queries,Pull the record for 'Insecure Default Initialization of Resource'.,MATCH (c:UcoCWE {ucocweName: 'Insecure Default Initialization of Resource'}) RETURN c,"MATCH (cwe:UcoCWE { ucocweName: ""Insecure Default Initialization of Resource"" }) RETURN cwe LIMIT 1",MATCH (a:UcoexCAPEC {ucoexNAME: 'Insecure Default Initialization of Resource'}) RETURN a LIMIT 1
112,Node Lookup Queries,Find information on 'Missing Encryption of Sensitive Data'.,MATCH (c:UcoCWE {ucocweName: 'Missing Encryption of Sensitive Data'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweName = 'Missing Encryption of Sensitive Data' RETURN cwe,MATCH (a:UcoexCAPEC {ucoexNAME: 'Missing Encryption of Sensitive Data'}) RETURN a
113,Node Lookup Queries,Show details for 'Use of a Broken or Risky Cryptographic Algorithm'.,MATCH (c:UcoCWE {ucocweName: 'Use of a Broken or Risky Cryptographic Algorithm'}) RETURN c,"MATCH (cwe:UcoCWE) WHERE cwe.ucocweName = ""Use of a Broken or Risky Cryptographic Algorithm"" RETURN cwe","MATCH (t:UcoexMITREATTACK {ucoexDESCRIPTION: ""Use of a Broken or Risky Cryptographic Algorithm""}) RETURN t.ucoexNAME, t.ucoexDESCRIPTION LIMIT 1"
114,Node Lookup Queries,Find any CWE summaries that mention 'authentication'.,MATCH (c:UcoCWE) WHERE c.ucocweSummary CONTAINS 'authentication' RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweSummary CONTAINS 'authentication' RETURN cwe LIMIT 10,"MATCH (c:UcoCWE) WHERE c.ucocweSummary CONTAINS 'authentication' RETURN DISTINCT c.ucocweID, c.ucocweSummary LIMIT 1000"
115,Node Lookup Queries,Search CWE descriptions for 'buffer' related weaknesses.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'buffer' RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucodescription CONTAINS 'buffer' RETURN cwe LIMIT 10,"MATCH (w:UcoCWE) WHERE CONTAINS(w.description, ""buffer"") RETURN DISTINCT w.name AS name, w.summary AS summary ORDER BY w.name LIMIT 10"
116,Node Lookup Queries,Find CWEs with 'path traversal' in their description.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'path traversal' RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucodescription CONTAINS 'path traversal' RETURN cwe,"MATCH (cwe:UcoCWE) WHERE CONTAINS(cwe.ucoDESCRIPTION, 'path traversal') RETURN DISTINCT cwe.ucocweName AS name, cwe.ucoDESCRIPTION AS description LIMIT 20"
117,Node Lookup Queries,List all 'Variant' CWEs that are 'Incomplete'.,"MATCH (c:UcoCWE {ucoabstraction: 'Variant', ucostatus: 'Incomplete'}) RETURN c",MATCH (cwe:UcoCWE) WHERE cwe.ucocweName CONTAINS 'Variant' AND cwe.ucostatus = 'Incomplete' RETURN cwe LIMIT 10,"MATCH (cwe:UcoCWE)-[:UCOHASCATEGORY]->(:Category {name: 'Variant'}) WHERE cwe.ucobaseName CONTAINS 'Incomplete' RETURN DISTINCT cwe.ucoid AS id, cwe.ucobaseName AS name LIMIT 1000"
118,Node Lookup Queries,Show me all 'Class' level weaknesses with a 'Simple' structure.,"MATCH (c:UcoCWE {ucoabstraction: 'Class', ucostructure: 'Simple'}) RETURN c",MATCH (cwe:UcoCWE) WHERE cwe.ucoabstraction = 'Class' AND cwe.ucostructure = 'Simple' RETURN cwe LIMIT 10,"MATCH (w:UcoCWE {ucocweClass: 'Class', ucocweStructure: 'Simple'}) RETURN DISTINCT w.ucocweID, w.name LIMIT 100"
119,Node Lookup Queries,Find all 'Pillar' CWEs that are currently 'Stable'.,"MATCH (c:UcoCWE {ucoabstraction: 'Pillar', ucostatus: 'Stable'}) RETURN c",MATCH (cwe:UcoCWE) WHERE cwe.ucocweName CONTAINS 'Pillar' AND cwe.ucostatus = 'Stable' RETURN cwe LIMIT 10,MATCH (c:UcoCWE)-[:UCOEXHASCPE]->(p:UcoexCPE {ucoexNAME: 'Pillar'})-[:UCOHASCVE_ID]->(:Vulnerability {ucobaseSeverity: 'Stable'}) RETURN DISTINCT c.ucoexID
120,Node Lookup Queries,List 'Compound' weaknesses that are in 'Draft' status.,"MATCH (c:UcoCWE {ucoabstraction: 'Compound', ucostatus: 'Draft'}) RETURN c",MATCH (cwe:UcoCWE) WHERE cwe.ucocweName CONTAINS 'Compound' AND cwe.ucostatus = 'Draft' RETURN DISTINCT cwe,"MATCH (w:UcoCWE {ucocweType: 'Compound', ucovulnStatus: 'Draft'}) RETURN DISTINCT w.name, w.ucocweID LIMIT 100"
121,Node Lookup Queries,Pull the record for CWE-1065.,MATCH (c:UcoCWE {ucocweID: 'CWE-1065'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweID = 'CWE-1065' RETURN cwe,MATCH (w:UcoCWE {ucocweID: 'CWE-1065'}) RETURN w
122,Node Lookup Queries,Pull the record for CWE-1066.,MATCH (c:UcoCWE {ucocweID: 'CWE-1066'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweID = 'CWE-1066' RETURN cwe,MATCH (a:AttackPattern {label: 'CWE-1066'}) RETURN a
123,Node Lookup Queries,Pull the record for CWE-1067.,MATCH (c:UcoCWE {ucocweID: 'CWE-1067'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweID = 'CWE-1067' RETURN cwe,MATCH (w:UcoCWE {ucocweID: 'CWE-1067'}) RETURN w
124,Node Lookup Queries,Pull the record for CWE-1068.,MATCH (c:UcoCWE {ucocweID: 'CWE-1068'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweID = 'CWE-1068' RETURN cwe,MATCH (w:UcoCWE {ucocweID: 'CWE-1068'}) RETURN w LIMIT 1
125,Node Lookup Queries,Pull the record for CWE-1069.,MATCH (c:UcoCWE {ucocweID: 'CWE-1069'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweID = 'CWE-1069' RETURN cwe,MATCH (w:UcoCWE {ucocweID: 'CWE-1069'}) RETURN w
126,Node Lookup Queries,Pull the record for CWE-1070.,MATCH (c:UcoCWE {ucocweID: 'CWE-1070'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweID = 'CWE-1070' RETURN cwe,MATCH (w:UcoCWE {label: 'CWE-1070'}) RETURN w
127,Node Lookup Queries,Pull the record for CWE-1083.,MATCH (c:UcoCWE {ucocweID: 'CWE-1083'}) RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweID = 'CWE-1083' RETURN cwe,MATCH (w:UcoCWE {cweId: 'CWE-1083'}) RETURN w
128,Node Lookup Queries,Find all 'Pillar' abstractions that are 'Deprecated'.,"MATCH (c:UcoCWE {ucoabstraction: 'Pillar', ucostatus: 'Deprecated'}) RETURN c",MATCH (cwe:UcoCWE) WHERE cwe.ucoabstraction = 'Pillar' AND cwe.ucostatus = 'Deprecated' RETURN cwe LIMIT 10,"MATCH (w:UcoCWE {ucoabstraction: 'Pillar', ucoStatus: 'Deprecated'}) RETURN DISTINCT w.ucoCWEID AS id, w.ucoName AS name LIMIT 100"
129,Node Lookup Queries,List all 'Base' weaknesses that are in 'Draft' status.,"MATCH (c:UcoCWE {ucoabstraction: 'Base', ucostatus: 'Draft'}) RETURN c",MATCH (cwe:UcoCWE) WHERE cwe.ucostatus = 'Draft' AND cwe.ucoabstraction = 'Base' RETURN cwe,"MATCH (w:UcoCWE {ucobaseStatus: 'Draft'}) WHERE w.ucobaseType = 'Base' RETURN DISTINCT w.ucocweID, w.name LIMIT 100"
130,Node Lookup Queries,Search CWE descriptions for 'SQL' related weaknesses.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'SQL' RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucodescription CONTAINS 'SQL' RETURN cwe LIMIT 10,"MATCH (cwe:UcoCWE) WHERE cwe.description CONTAINS 'SQL' RETURN DISTINCT cwe.ucocweID, cwe.name LIMIT 100"
131,Node Lookup Queries,Are there any weaknesses related to 'cross-site scripting' in the descriptions?,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'cross-site scripting' RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucodescription CONTAINS 'cross-site scripting' RETURN cwe LIMIT 10,"MATCH (w:UcoCWE) WHERE EXISTS(w.description) AND CONTAINS(toLower(w.description), 'cross-site scripting') RETURN DISTINCT w.ucocweID, w.name"
132,Node Lookup Queries,List all CWEs that talk about 'memory leak'.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'memory leak' RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweName CONTAINS 'memory leak' RETURN cwe LIMIT 10,"MATCH (w:UcoCWE) WHERE CONTAINS(w.ucodescription, 'memory leak') RETURN DISTINCT w.name LIMIT 10"
133,Node Lookup Queries,Show weaknesses involving 'deserialization'.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'deserialization' RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweName CONTAINS 'deserialization' RETURN cwe LIMIT 10,"MATCH (w:UcoCWE) WHERE CONTAINS(w.name, 'deserialization') RETURN DISTINCT w.ucocweID AS weaknessId, w.name AS weaknessName LIMIT 10"
134,Node Lookup Queries,Are there any weaknesses related to 'file inclusion'?,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'file inclusion' RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweName CONTAINS 'file inclusion' RETURN cwe LIMIT 10,"MATCH (w:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(:UcoexObservedExample {summary: ""file inclusion""}) RETURN w.ucoid AS weakness_id"
135,Node Lookup Queries,List all 'Variant' CWEs that are 'Stable'.,"MATCH (c:UcoCWE {ucoabstraction: 'Variant', ucostatus: 'Stable'}) RETURN c","MATCH (cwe:UcoCWE) WHERE cwe.ucoabstraction = ""Variant"" AND cwe.ucostatus = ""Stable"" RETURN cwe LIMIT 10","MATCH (w:UcoCWE {cweClass: ""Variant""}) WHERE w.stability = ""Stable"" RETURN DISTINCT w.CWE_ID LIMIT 1000"
136,Node Lookup Queries,Find any CWE summaries that mention 'security'.,MATCH (c:UcoCWE) WHERE c.ucocweSummary CONTAINS 'security' RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweSummary CONTAINS 'security' RETURN DISTINCT cwe.ucocweSummary LIMIT 10,"MATCH (w:UcoCWE {ucocweSummary: {CONTAINS: 'security'}})
RETURN DISTINCT w.ucocweSummary"
137,Node Lookup Queries,Are there any weaknesses related to 'permission'?,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'permission' RETURN c,MATCH (cwe:UcoCWE)-[]->() WHERE cwe.ucocweName CONTAINS 'permission' RETURN cwe LIMIT 10,"MATCH (w:UcoCWE) WHERE CONTAINS(w.name, 'permission') RETURN DISTINCT w.uri LIMIT 100"
138,Node Lookup Queries,List all CWE descriptions that mention 'malicious'.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'malicious' RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucodescription CONTAINS 'malicious' RETURN DISTINCT cwe.ucodescription LIMIT 10,MATCH (cwe:UcoCWE) WHERE cwe.ucoexDESCRIPTION CONTAINS 'malicious' RETURN DISTINCT cwe.ucoexDESCRIPTION LIMIT 100
139,Node Lookup Queries,Show weaknesses involving 'sensitive information' exposure.,MATCH (c:UcoCWE) WHERE c.ucodescription CONTAINS 'sensitive information' RETURN c,MATCH (cwe:UcoCWE) WHERE cwe.ucocweName CONTAINS 'sensitive information' RETURN cwe LIMIT 10,"MATCH (w:UcoCWE) WHERE w.name CONTAINS 'sensitive information' OR w.summary CONTAINS 'sensitive information' OR w.description CONTAINS 'sensitive information' RETURN DISTINCT w.cweid, w.name LIMIT 10"
140,Node Lookup Queries,Find all 'Class' abstractions that are 'Deprecated'.,"MATCH (c:UcoCWE {ucoabstraction: 'Class', ucostatus: 'Deprecated'}) RETURN c",MATCH (cwe:UcoCWE) WHERE cwe.ucoabstraction = 'Class' AND cwe.ucostatus = 'Deprecated' RETURN DISTINCT cwe LIMIT 10,"MATCH (w:UcoCWE {ucoabstraction: 'Class', ucoStatus: 'Deprecated'}) RETURN DISTINCT w.ucoID AS ClassAbstraction, w.name AS Name LIMIT 1000"
141,Node Lookup Queries,Find all 'High' severity CAPEC attack patterns.,MATCH (c:UcoexCAPEC {ucoexSeverity: 'High'}) RETURN c,MATCH (capec:UcoexCAPEC) WHERE capec.ucoexSeverity = 'High' RETURN capec LIMIT 10,MATCH (ca:UcoexCAPEC {ucoexSeverity: 'High'}) RETURN ca.ucoexCAPEC_name LIMIT 1000
142,Node Lookup Queries,Find all 'Medium' severity CAPEC attack patterns.,MATCH (c:UcoexCAPEC {ucoexSeverity: 'Medium'}) RETURN c,MATCH (capec:UcoexCAPEC) WHERE capec.ucoexSeverity = 'Medium' RETURN capec LIMIT 10,MATCH (ca:UcoexCAPEC {ucoexSeverity: 'Medium'}) RETURN ca.ucoexCAPEC_name LIMIT 100
143,Node Lookup Queries,Find all 'Low' severity CAPEC attack patterns.,MATCH (c:UcoexCAPEC {ucoexSeverity: 'Low'}) RETURN c,MATCH (capec:UcoexCAPEC) WHERE capec.ucoexSeverity = 'Low' RETURN capec LIMIT 10,MATCH (ca:UcoexCAPEC {ucoexSeverity: 'Low'}) RETURN DISTINCT ca.ucoexCAPEC_name LIMIT 100
144,Node Lookup Queries,List CAPEC patterns with a 'Low' likelihood of exploit.,MATCH (c:UcoexCAPEC {ucoexLikelihood: 'Low'}) RETURN c,MATCH (capec:UcoexCAPEC) WHERE capec.ucoexLikelihood = 'Low' RETURN capec LIMIT 10,"MATCH (ap:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE {ucolikelihoodOfExploit: ""Low""}) RETURN ap.ucoexCAPEC_name LIMIT 100"
145,Node Lookup Queries,List CAPEC patterns with an 'Unknown' likelihood of exploit.,MATCH (c:UcoexCAPEC {ucoexLikelihood: 'Unknown'}) RETURN c,MATCH (capec:UcoexCAPEC) WHERE capec.ucoexLikelihood = 'Unknown' RETURN capec LIMIT 10,"MATCH (ca:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE) WHERE w.ucolikelihoodOfExploit = ""Unknown"" RETURN ca.ucoexCAPEC_name, w.ucocweID LIMIT 100"
146,Node Lookup Queries,Show all 'Detailed' abstraction CAPEC patterns.,MATCH (c:UcoexCAPEC {ucoexAbstraction: 'Detailed'}) RETURN c,MATCH (capec:UcoexCAPEC) WHERE capec.ucoexAbstraction = 'Detailed' RETURN capec LIMIT 10,MATCH (ca:UcoexCAPEC {ucoabstraction: 'Detailed'}) RETURN DISTINCT ca.ucoexCAPEC_name AS patternName LIMIT 100
147,Node Lookup Queries,Find CAPEC patterns related to 'Spoofing'.,MATCH (c:UcoexCAPEC) WHERE c.ucoexCAPEC_name CONTAINS 'Spoofing' RETURN c,MATCH (capec:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) WHERE cwe.ucocweName CONTAINS 'Spoofing' RETURN capec LIMIT 10,MATCH (a:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(b:UcoCWE) WHERE a.ucoexCAPEC_name CONTAINS 'Spoofing' RETURN DISTINCT b
148,Node Lookup Queries,Find CAPEC patterns related to 'Authentication'.,MATCH (c:UcoexCAPEC) WHERE c.ucoexCAPEC_name CONTAINS 'Authentication' RETURN c,MATCH (capec:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(cwe:UcoCWE) WHERE cwe.ucocweName CONTAINS 'authentication' RETURN capec LIMIT 10,"MATCH (ca:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE {ucocweName:""Authentication""}) RETURN DISTINCT ca.ucoexCAPEC_name"
149,Node Lookup Queries,Find CAPEC patterns whose description mentions 'attacker'.,MATCH (c:UcoexCAPEC) WHERE c.ucoexDescription CONTAINS 'attacker' RETURN c,MATCH (capec:UcoexCAPEC) WHERE capec.ucoexDescription CONTAINS 'attacker' RETURN capec LIMIT 10,MATCH (ca:UcoexCAPEC) WHERE ca.description CONTAINS 'attacker' RETURN DISTINCT ca.ucoexCAPEC_name LIMIT 100
150,Node Lookup Queries,List CAPEC patterns requiring 'High' attacker skill.,MATCH (c:UcoexCAPEC) WHERE ANY(s IN c.ucoexSkills_Required WHERE s CONTAINS 'Level:High') RETURN c,MATCH (capec:UcoexCAPEC) WHERE capec.ucoexSkills_Required CONTAINS 'High' RETURN DISTINCT capec LIMIT 10,"MATCH (a:UcoexCAPEC {ucoexSkillRequired: ""High""}) RETURN a.ucoexCAPEC_name LIMIT 100"
