Category,NaturalLanguageQuestion,CypherQuery,CypherToQuestion
Aggregation and Counting,List all unique software names used by 'APT28'.,MATCH (g:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN collect(DISTINCT s.ucoexNAME) AS softwareTools,Enumerate the unique software tools in APT28's arsenal.
Aggregation and Counting,How many observed examples are there for 'Pillar' abstraction CWEs?,MATCH (w:UcoCWE {ucoabstraction: 'Pillar'})-[:UCOHASOBSERVEDEXAMPLE]->(o:UcoexObservedExample) RETURN count(o) AS exampleCount,How many observed examples are linked to 'Pillar' abstraction CWEs?
Aggregation and Counting,What is the maximum impact score for a CVE that requires user interaction?,MATCH (c:UcoCVE {ucouserInteractionRequired: 'true'}) RETURN max(toFloat(c.ucoimpactScore)) AS maxImpactScore,What is the maximum impact score for CVEs requiring user interaction?
Aggregation and Counting,How many CAPEC attack patterns exist for each 'likelihood of attack' category?,"MATCH (ca:UcoexCAPEC) RETURN ca.ucoexLikelihood, count(ca) AS patternCount",Provide a breakdown of CAPEC pattern counts by their likelihood of attack.
Aggregation and Counting,Count the number of related CWEs for all CAPEC patterns with 'Low' severity.,MATCH (ca:UcoexCAPEC {ucoexSeverity: 'Low'})-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE) RETURN count(w) AS totalRelatedWeaknesses,What is the total count of related CWEs for all 'Low' severity CAPEC patterns?
Conditional and Boolean Queries,Find 'CRITICAL' CVEs that allow full privilege escalation AND do NOT require user interaction.,"MATCH (c:UcoCVE {ucobaseSeverity: 'CRITICAL', ucoobtainAllPrivilege: 'true', ucouserInteractionRequired: 'false'}) RETURN c.label","Identify critical, full-privilege-escalation CVEs that require no user interaction."
Conditional and Boolean Queries,Which threat groups use either 'Phishing' OR 'Drive-by Compromise' techniques?,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WHERE t.ucoexNAME = 'Phishing' OR t.ucoexNAME = 'Drive-by Compromise' RETURN DISTINCT g.ucoexNAME,Which threat groups are known to use 'Phishing' or 'Drive-by Compromise'?
Conditional and Boolean Queries,Find all 'Base' abstraction CWEs whose description contains 'buffer' AND have a 'Stable' status.,"MATCH (w:UcoCWE {ucoabstraction: 'Base', ucostatus: 'Stable'}) WHERE w.ucodescription CONTAINS 'buffer' RETURN w.ucocweID, w.ucocweName","Find all 'Base' level, 'Stable' CWEs with descriptions containing the term 'buffer'."
Conditional and Boolean Queries,What software is used by 'Lazarus Group' AND was also used in the 'WannaCry' campaign?,MATCH (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS {ucoexNAME: 'WannaCry'}) RETURN s.ucoexNAME,What software is common to both 'Lazarus Group' and the 'WannaCry' campaign?
Conditional and Boolean Queries,Show me all CVEs with an impact score above 9.0 but an exploitability score below 3.0.,"MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) > 9.0 AND toFloat(c.ucoexploitabilityScore) < 3.0 RETURN c.label, c.ucoimpactScore, c.ucoexploitabilityScore",List CVEs with an impact score over 9.0 but an exploitability score under 3.0.
Conditional and Boolean Queries,List vulnerabilities published in 2023.,"MATCH (v:UcoVulnerability) WHERE v.ucopublishedDateTime >= '2023-01-01T00:00:00' AND v.ucopublishedDateTime < '2024-01-01T00:00:00' RETURN v.uri, v.ucopublishedDateTime",Retrieve all vulnerabilities published during the 2023 calendar year.
Conditional and Boolean Queries,Find CAPEC patterns that require 'High' skill level AND have 'High' severity.,MATCH (ca:UcoexCAPEC {ucoexSeverity: 'High'}) WHERE ANY(skill IN ca.ucoexSkills_Required WHERE skill CONTAINS 'Level:High') RETURN ca.ucoexCAPEC_name,Identify 'High' severity CAPEC patterns that also require a 'High' skill level to execute.
Conditional and Boolean Queries,What ATT&CK techniques are used by 'APT28' but NOT by 'APT29'?,MATCH (g1:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WHERE NOT EXISTS { (g2:UcoexGROUPS {ucoexNAME: 'APT29'})-[:UCOEXGROUPUSESTECHNIQUE]->(t) } RETURN t.ucoexNAME,What TTPs are unique to APT28 when compared to APT29?
Conditional and Boolean Queries,Pull all CVEs that are either 'Analyzed' or 'Modified' and have a 'HIGH' severity.,"MATCH (c:UcoCVE {ucobaseSeverity: 'HIGH'}) WHERE c.ucovulnStatus = 'Analyzed' OR c.ucovulnStatus = 'Modified' RETURN c.label, c.ucovulnStatus",Pull all 'HIGH' severity CVEs with a status of 'Analyzed' or 'Modified'.
Conditional and Boolean Queries,Find all CPEs that are related to 'windows' or 'linux' products.,"MATCH (p:UcoexCPE) WHERE p.titles CONTAINS 'windows' OR p.titles CONTAINS 'linux' RETURN p.cpeName, p.titles",List CPEs related to 'windows' or 'linux' based on their title fields.
Conditional and Boolean Queries,Find techniques used by 'Sandworm Team' for which mitigations exist.,MATCH (g:UcoexGROUPS {ucoexNAME: 'Sandworm Team'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN DISTINCT t.ucoexNAME,What techniques used by 'Sandworm Team' have documented mitigations?
Conditional and Boolean Queries,Find weaknesses (CWEs) that mention 'SQL injection' in either their summary or description.,"MATCH (w:UcoCWE) WHERE w.ucocweSummary CONTAINS 'SQL injection' OR w.ucodescription CONTAINS 'SQL injection' RETURN w.ucocweID, w.ucocweName",Query all CWEs where the summary or description text contains 'SQL injection'.
Conditional and Boolean Queries,List all campaigns that are NOT attributed to any known threat group.,MATCH (c:UcoexCAMPAIGNS) WHERE NOT (c)-[:UCOEXATTRIBUTEDTO]->(:UcoexGROUPS) RETURN c.ucoexNAME,List all campaigns that are not currently attributed to a known threat group.
Conditional and Boolean Queries,Are there any 'High' severity CAPEC patterns that have a 'Low' likelihood of attack?,"MATCH (ca:UcoexCAPEC {ucoexSeverity: 'High', ucoexLikelihood: 'Low'}) RETURN ca.ucoexCAPEC_name",Are there any 'High' severity CAPEC patterns with a 'Low' likelihood of attack?
Conditional and Boolean Queries,Show 'MEDIUM' severity CVEs with an impact score over 7.0 that DO require user interaction.,"MATCH (c:UcoCVE {ucobaseSeverity: 'MEDIUM', ucouserInteractionRequired: 'true'}) WHERE toFloat(c.ucoimpactScore) > 7.0 RETURN c.label",Identify 'MEDIUM' severity CVEs with an impact score over 7.0 that require user interaction.
Path Queries (Variable-length),Show the relationship path (up to 3 hops) between 'Phishing' and 'Data Exfiltration' techniques.,MATCH p = (t1:UcoexMITREATTACK {ucoexNAME: 'Phishing'})-[*..3]-(t2:UcoexMITREATTACK {ucoexNAME: 'Data Exfiltration'}) RETURN p,"Show relationship paths, up to 3 hops, between 'Phishing' and 'Data Exfiltration' TTPs."
Path Queries (Variable-length),What is the shortest path (up to 4 hops) connecting 'APT28' to 'CVE-2021-44228'?,MATCH p = allShortestPaths((g:UcoexGROUPS {ucoexNAME: 'APT28'})-[*..4]-(c:UcoCVE {label: 'CVE-2021-44228'})) RETURN p,"What are the shortest paths, max 4 hops, connecting 'APT28' to 'CVE-2021-44228'?"
Path Queries (Variable-length),Find all paths (up to 5 hops) from the 'Lazarus Group' to any 'CRITICAL' severity CVE.,MATCH p = (g:UcoexGROUPS {ucoexNAME: 'Lazarus Group'})-[*..5]-(c:UcoCVE {ucobaseSeverity: 'CRITICAL'}) RETURN p LIMIT 10,"Find 10 paths, up to 5 hops, from 'Lazarus Group' to any 'CRITICAL' severity CVE."
Path Queries (Variable-length),Show me how 'User Account Control' (a mitigation) is related (max 4 hops) to 'Cobalt Strike' (software).,MATCH p = (m:UcoexMITIGATIONS {ucoexNAME: 'User Account Control'})-[*..4]-(s:UcoexSOFTWARE {ucoexNAME: 'Cobalt Strike'}) RETURN p,Show the relationship path (max 4 hops) between the 'User Account Control' mitigation and 'Cobalt Strike' software.
Path Queries (Variable-length),Find all weaknesses (CWEs) that are 1 to 3 hops away from CAPEC-100 ('SQL Injection').,MATCH p = (ca:UcoexCAPEC {ucoexCAPEC_id: '100'})-[*1..3]-(w:UcoCWE) RETURN p,Show all CWEs within 3 hops of CAPEC-100 (SQL Injection).
Path Queries (Variable-length),How are 'APT28' and 'Lazarus Group' connected (up to 3 hops)? Do they share tools or techniques?,MATCH p = (g1:UcoexGROUPS {ucoexNAME: 'APT28'})-[*..3]-(g2:UcoexGROUPS {ucoexNAME: 'Lazarus Group'}) RETURN p,What are the shared relationships (up to 3 hops) between APT28 and Lazarus Group?
Path Queries (Variable-length),Show the shortest path (up to 4 hops) from 'microsoft:windows_10' (CPE) to the 'Sandworm Team' group.,MATCH p = allShortestPaths((c:UcoexCPE {cpeName: 'microsoft:windows_10'})-[*..4]-(g:UcoexGROUPS {ucoexNAME: 'Sandworm Team'})) RETURN p,Find the shortest attack path (max 4 hops) from 'microsoft:windows_10' to 'Sandworm Team'.
Path Queries (Variable-length),Show all nodes within 2 hops of the mitigation 'Access Token Manipulation'.,MATCH p = (m:UcoexMITIGATIONS {ucoexNAME: 'Access Token Manipulation'})-[*1..2]-(n) RETURN p,Show the 2-hop neighborhood for the 'Access Token Manipulation' mitigation.
Path Queries (Variable-length),Find the relationship (max 5 hops) between D3FEND's 'File Access Pattern Analysis' and 'CVE-2017-0199'.,MATCH p = (d:UcoexMITRED3FEND {ucoexMITRED3FEND_LABEL: 'File Access Pattern Analysis'})-[*..5]-(c:UcoCVE {label: 'CVE-2017-0199'}) RETURN p,Map the relationship (max 5 hops) between D3FEND 'File Access Pattern Analysis' and CVE-2017-0199.
Path Queries (Variable-length),Are 'CVE-2021-44228' and 'CVE-2021-45046' (Log4j vulns) related? Show path up to 3 hops.,MATCH p = (c1:UcoCVE {label: 'CVE-2021-44228'})-[*..3]-(c2:UcoCVE {label: 'CVE-2021-45046'}) RETURN p,Show the relationship path (max 3 hops) between CVE-2021-44228 and CVE-2021-45046.
Path Queries (Variable-length),Find all CAPEC patterns that are 1 or 2 hops away from the 'Process Injection' technique.,MATCH p = (ca:UcoexCAPEC)-[*1..2]-(t:UcoexMITREATTACK {ucoexNAME: 'Process Injection'}) RETURN p,Find all CAPEC patterns within 2 hops of the 'Process Injection' TTP.
Path Queries (Variable-length),Show me the entire sub-graph of nodes 1-hop away from the 'SolarWinds' campaign.,MATCH p = (c:UcoexCAMPAIGNS {ucoexNAME: 'SolarWinds'})-[*1]-(n) RETURN p,Show the immediate 1-hop neighborhood for the 'SolarWinds' campaign.
Path Queries (Variable-length),Find the shortest path between a vulnerability with 'remote code execution' in its summary and the 'APT29' group.,MATCH p = allShortestPaths((v:UcoVulnerability)-[*..5]-(g:UcoexGROUPS {ucoexNAME: 'APT29'})) WHERE v.ucosummary CONTAINS 'remote code execution' RETURN p LIMIT 1,Find the shortest path (max 5 hops) from an RCE vulnerability to APT29.
Path Queries (Variable-length),What software tools (up to 4 hops) are related to 'CWE-78: OS Command Injection'?,MATCH p = (w:UcoCWE {ucocweID: 'CWE-78'})-[*..4]-(s:UcoexSOFTWARE) RETURN p,What software is related (max 4 hops) to CWE-78 (OS Command Injection)?
Path Queries (Variable-length),Show the path (up to 3 hops) connecting 'Mimikatz' and 'PowerShell'.,MATCH p = (s1:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'})-[*..3]-(s2:UcoexSOFTWARE {ucoexNAME: 'PowerShell'}) RETURN p,Show the relationship path (max 3 hops) between 'Mimikatz' and 'PowerShell'.
Graph Pattern Matching,"Show me all threat groups, the techniques they use, and the mitigations for those techniques.","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXMITIGATES]-(m:UcoexMITIGATIONS) RETURN g.ucoexNAME, t.ucoexNAME, m.ucoexNAME",Map threat groups to their TTPs and the corresponding mitigations.
Graph Pattern Matching,"Find campaigns, their attributed groups, and the techniques they use.","MATCH (g:UcoexGROUPS)<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN c.ucoexNAME, g.ucoexNAME, t.ucoexNAME","List campaigns, their attributed groups, and the TTPs employed."
Graph Pattern Matching,Show me which groups use software that in turn employ specific ATT&CK techniques.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK) RETURN g.ucoexNAME, s.ucoexNAME, t.ucoexNAME",Show group-to-software-to-TTP relationships.
Graph Pattern Matching,"Find exploit targets, their vulnerabilities, the CVE-ID, and the affected CPE.","MATCH (et:UcoExploitTarget)-[:UCOHASVULNERABILITY]->(v:UcoVulnerability)-[:UCOHASCVE_ID]->(c:UcoCVE)-[:UCOEXHASCPE]->(p:UcoexCPE) RETURN et.uri, v.ucosummary, c.label, p.cpeName","Map exploit targets to vulnerabilities, their CVEs, and affected CPEs."
Graph Pattern Matching,"Show attack patterns (CAPEC), their related weaknesses (CWE), and the CVEs where those weaknesses were observed.","MATCH (ca:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE)-[:UCOHASOBSERVEDEXAMPLE]->(o:UcoexObservedExample)-[:UCOEXEXAMPLEOBSERVEDIN]->(c:UcoCVE) RETURN ca.ucoexCAPEC_name, w.ucocweID, c.label",Connect CAPEC patterns to their related CWEs and the CVEs where they were observed.
Graph Pattern Matching,Find threat groups and campaigns that both use the same ATT&CK technique.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXCAMPAIGNUSESTECHNIQUE]-(c:UcoexCAMPAIGNS) RETURN g.ucoexNAME, t.ucoexNAME, c.ucoexNAME",Identify shared TTPs between threat groups and campaigns.
Graph Pattern Matching,Find threat groups and campaigns that both use the same software.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXCAMPAIGNUSESSOFTWARE]-(c:UcoexCAMPAIGNS) RETURN g.ucoexNAME, s.ucoexNAME, c.ucoexNAME",Identify shared software tooling between threat groups and campaigns.
Graph Pattern Matching,"Show me D3FEND defenses, the ATT&CK techniques they counter, and the groups that use those techniques.","MATCH (d:UcoexMITRED3FEND)-[:UCOEXHASMITREATTACK]->(t:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS) RETURN d.ucoexMITRED3FEND_LABEL, t.ucoexNAME, g.ucoexNAME",Map D3FEND mitigations to the ATT&CK TTPs they counter and the groups that use them.
Graph Pattern Matching,What software tools are used by both 'APT28' and 'Sandworm Team'?,MATCH (g1:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE)<-[:UCOEXGROUPUSESSOFTWARE]-(g2:UcoexGROUPS {ucoexNAME: 'Sandworm Team'}) RETURN s.ucoexNAME,What software tools are common to both APT28 and Sandworm Team?
Graph Pattern Matching,What ATT&CK techniques are used by both 'APT29' and 'Lazarus Group'?,MATCH (g1:UcoexGROUPS {ucoexNAME: 'APT29'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(g2:UcoexGROUPS {ucoexNAME: 'Lazarus Group'}) RETURN t.ucoexNAME,What TTPs are leveraged by both APT29 and Lazarus Group?
Graph Pattern Matching,Show weaknesses (CWEs) that have observed examples in CVEs that affect 'microsoft:windows_10'.,"MATCH (p:UcoexCPE {cpeName: 'microsoft:windows_10'})<-[:UCOEXHASCPE]-(c:UcoCVE)<-[:UCOEXEXAMPLEOBSERVEDIN]-(o:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE) RETURN DISTINCT w.ucocweID, w.ucocweName",Identify distinct CWEs with observed examples in CVEs affecting 'microsoft:windows_10'.
Graph Pattern Matching,Find groups using techniques for which there are no mitigations listed.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WHERE NOT (t)<-[:UCOEXMITIGATES]-(:UcoexMITIGATIONS) RETURN DISTINCT g.ucoexNAME, t.ucoexNAME",Which threat groups are using TTPs with no documented mitigations?
Graph Pattern Matching,What threat groups use techniques that are mapped from 'High' severity CAPEC patterns?,"MATCH (ca:UcoexCAPEC {ucoexSeverity: 'High'})-[:UCOEXHASTAXONOMYMAPPING]->(t:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(g:UcoexGROUPS) RETURN DISTINCT g.ucoexNAME, t.ucoexNAME, ca.ucoexCAPEC_name",What groups use TTPs that map from 'High' severity CAPEC patterns?
Graph Pattern Matching,What campaigns use the same techniques as the 'Mimikatz' software?,"MATCH (s:UcoexSOFTWARE {ucoexNAME: 'Mimikatz'})-[:UCOEXSOFTWAREUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXCAMPAIGNUSESTECHNIQUE]-(c:UcoexCAMPAIGNS) RETURN DISTINCT c.ucoexNAME, t.ucoexNAME",What campaigns leverage TTPs associated with 'Mimikatz'?
Graph Pattern Matching,Find 'CRITICAL' CVEs and their related weaknesses (CWEs) that affect 'apache:log4j'.,"MATCH (p:UcoexCPE {cpeName: 'apache:log4j'})<-[:UCOEXHASCPE]-(c:UcoCVE {ucobaseSeverity: 'CRITICAL'})<-[:UCOEXEXAMPLEOBSERVEDIN]-(:UcoexObservedExample)<-[:UCOHASOBSERVEDEXAMPLE]-(w:UcoCWE) RETURN c.label, w.ucocweID, w.ucocweName",Find critical CVEs and their root-cause CWEs affecting 'apache:log4j'.
Comparative and Ranking,Rank threat groups by the number of 'Enterprise' domain techniques they use.,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK {ucoexDOMAIN: 'Enterprise'}) RETURN g.ucoexNAME, count(t) AS techniqueCount ORDER BY techniqueCount DESC",Rank threat groups by their total count of 'Enterprise' TTPs.
Comparative and Ranking,List the top 10 most exploitable 'CRITICAL' CVEs that allow full privilege escalation.,"MATCH (c:UcoCVE {ucobaseSeverity: 'CRITICAL', ucoobtainAllPrivilege: 'true'}) RETURN c.label, toFloat(c.ucoexploitabilityScore) AS exploitScore ORDER BY exploitScore DESC LIMIT 10",List the top 10 most exploitable 'CRITICAL' CVEs that grant full privileges.
Comparative and Ranking,Which weaknesses (CWEs) are associated with the most attack patterns (CAPECs)?,"MATCH (ca:UcoexCAPEC)-[:UCOEXHASRELATEDWEAKNESS]->(w:UcoCWE) RETURN w.ucocweID, w.ucocweName, count(ca) AS capecCount ORDER BY capecCount DESC LIMIT 10",Which 10 CWEs are related to the highest number of CAPEC patterns?
Comparative and Ranking,"List all CAPEC patterns, ordered first by 'High' severity, then by 'High' likelihood.","MATCH (ca:UcoexCAPEC) RETURN ca.ucoexCAPEC_name, ca.ucoexSeverity, ca.ucoexLikelihood ORDER BY ca.ucoexSeverity DESC, ca.ucoexLikelihood DESC","List CAPEC patterns, ordered first by highest severity, then by highest likelihood."
Comparative and Ranking,Find CVEs where the impact score is greater than the exploitability score.,"MATCH (c:UcoCVE) WHERE toFloat(c.ucoimpactScore) > toFloat(c.ucoexploitabilityScore) RETURN c.label, c.ucoimpactScore, c.ucoexploitabilityScore",Identify CVEs where the impact score exceeds the exploitability score.
Comparative and Ranking,List the top 10 most vulnerable products (CPEs) based on the number of 'CRITICAL' CVEs.,"MATCH (c:UcoCVE {ucobaseSeverity: 'CRITICAL'})-[:UCOEXHASCPE]->(p:UcoexCPE) RETURN p.cpeName, count(c) AS criticalCveCount ORDER BY criticalCveCount DESC LIMIT 10",What are the top 10 products (CPEs) with the most 'CRITICAL' vulnerabilities?
Comparative and Ranking,Rank 'Mobile' domain ATT&CK techniques by the number of available mitigations.,"MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t:UcoexMITREATTACK {ucoexDOMAIN: 'Mobile'}) RETURN t.ucoexNAME, count(m) AS mitigationCount ORDER BY mitigationCount DESC",Rank 'Mobile' ATT&CK techniques by their number of available mitigations.
Comparative and Ranking,Which campaigns are attributed to the most threat groups?,"MATCH (c:UcoexCAMPAIGNS)-[:UCOEXATTRIBUTEDTO]->(g:UcoexGROUPS) RETURN c.ucoexNAME, count(g) AS groupCount ORDER BY groupCount DESC",Which campaigns have the highest number of attributed threat groups?
Comparative and Ranking,"List all CWEs, ordered by their likelihood of exploit (High to Low).","MATCH (w:UcoCWE) WHERE w.ucolikelihoodOfExploit IS NOT NULL RETURN w.ucocweID, w.ucocweName, w.ucolikelihoodOfExploit ORDER BY w.ucolikelihoodOfExploit DESC","List all CWEs, ranked by their likelihood of exploit (High to Low)."
Comparative and Ranking,"Rank CAPEC patterns by severity (descending) and then by the skill required (ascending, assuming 'Low' is easier).","MATCH (ca:UcoexCAPEC) RETURN ca.ucoexCAPEC_name, ca.ucoexSeverity, ca.ucoexSkills_Required ORDER BY ca.ucoexSeverity DESC, ca.ucoexSkills_Required ASC",Rank CAPEC patterns first by severity (descending) and then by skill required (ascending).
Comparative and Ranking,List the top 5 least mitigated 'Enterprise' techniques used by 'APT29'.,"MATCH (g:UcoexGROUPS {ucoexNAME: 'APT29'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK {ucoexDOMAIN: 'Enterprise'}) OPTIONAL MATCH (m:UcoexMITIGATIONS)-[:UCOEXMITIGATES]->(t) RETURN t.ucoexNAME, count(m) AS mitigationCount ORDER BY mitigationCount ASC LIMIT 5",Identify the top 5 least-mitigated 'Enterprise' TTPs used by APT29.
Comparative and Ranking,Find CVEs with an exploitability score higher than 3.5 and an impact score lower than 5.0.,MATCH (c:UcoCVE) WHERE toFloat(c.ucoexploitabilityScore) > 3.5 AND toFloat(c.ucoimpactScore) < 5.0 RETURN c.label,Find CVEs with an exploitability score over 3.5 and an impact score under 5.0.
Existence and Set Operations Queries,List all threat groups that have at least one known technique.,MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(:UcoexMITREATTACK) RETURN DISTINCT g.ucoexNAME,List all threat groups with at least one associated TTP.
Existence and Set Operations Queries,Find all ATT&CK techniques that have no mitigations.,MATCH (t:UcoexMITREATTACK) WHERE NOT (t)<-[:UCOEXMITIGATES]-(:UcoexMITIGATIONS) RETURN t.ucoexNAME,Identify all ATT&CK techniques that have no documented mitigations.
Existence and Set Operations Queries,List all software (UcoexSOFTWARE) that is not associated with any ATT&CK technique.,MATCH (s:UcoexSOFTWARE) WHERE NOT (s)-[:UCOEXSOFTWAREUSESTECHNIQUE]->(:UcoexMITREATTACK) RETURN s.ucoexNAME,List all software tools that are not mapped to any ATT&CK technique.
Existence and Set Operations Queries,Find all CWEs that have no observed real-world examples.,"MATCH (w:UcoCWE) WHERE NOT (w)-[:UCOHASOBSERVEDEXAMPLE]->(:UcoexObservedExample) RETURN w.ucocweID, w.ucocweName",Identify all CWEs that lack any observed real-world examples.
Existence and Set Operations Queries,"Find all details for a specific list of CVEs: 'CVE-2023-0001', 'CVE-2023-0002'.","MATCH (c:UcoCVE) WHERE c.label IN ['CVE-2023-0001', 'CVE-2023-0002'] RETURN c",Pull all data for CVE-2023-0001 and CVE-2023-0002.
Existence and Set Operations Queries,"Find all groups that use any of the following techniques: 'Phishing', 'Data Encrypted for Impact'.","MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WHERE t.ucoexNAME IN ['Phishing', 'Data Encrypted for Impact'] RETURN DISTINCT g.ucoexNAME",Which distinct groups use either 'Phishing' or 'Data Encrypted for Impact'?
Existence and Set Operations Queries,Which CVEs are not associated with any CPE (product)?,MATCH (c:UcoCVE) WHERE NOT (c)-[:UCOEXHASCPE]->(:UcoexCPE) RETURN c.label,List all CVEs that are not associated with any specific product (CPE).
Existence and Set Operations Queries,List all campaigns that have a known attribution group.,MATCH (c:UcoexCAMPAIGNS)-[:UCOEXATTRIBUTEDTO]->(:UcoexGROUPS) RETURN DISTINCT c.ucoexNAME,List all campaigns that have a known attribution to a threat group.
Existence and Set Operations Queries,Find all CWEs where the 'likelihoodOfExploit' property is not null.,"MATCH (w:UcoCWE) WHERE w.ucolikelihoodOfExploit IS NOT NULL RETURN w.ucocweID, w.ucolikelihoodOfExploit",Find all CWEs where the 'likelihoodOfExploit' property is populated.
Existence and Set Operations Queries,Find all CVEs with a status of 'Analyzed' or 'Awaiting Analysis'.,"MATCH (c:UcoCVE) WHERE c.ucovulnStatus IN ['Analyzed', 'Awaiting Analysis'] RETURN c.label, c.ucovulnStatus",Pull all CVEs with a status of 'Analyzed' or 'Awaiting Analysis'.
Existence and Set Operations Queries,Which exploit targets have no associated vulnerabilities or weaknesses?,MATCH (et:UcoExploitTarget) WHERE NOT (et)-[:UCOHASVULNERABILITY]->(:UcoVulnerability) AND NOT (et)-[:UCOHASWEAKNESS]->(:UcoCWE) RETURN et.uri,Identify exploit targets that have no linked vulnerabilities or weaknesses.
Existence and Set Operations Queries,Find techniques used by both 'APT28' AND 'Lazarus Group' (Intersection).,MATCH (g1:UcoexGROUPS {ucoexNAME: 'APT28'})-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK)<-[:UCOEXGROUPUSESTECHNIQUE]-(g2:UcoexGROUPS {ucoexNAME: 'Lazarus Group'}) RETURN t.ucoexNAME,What TTPs are shared between APT28 and Lazarus Group?
Existence and Set Operations Queries,List all techniques used by 'APT28' OR 'Lazarus Group' (Union).,"MATCH (g:UcoexGROUPS)-[:UCOEXGROUPUSESTECHNIQUE]->(t:UcoexMITREATTACK) WHERE g.ucoexNAME IN ['APT28', 'Lazarus Group'] RETURN DISTINCT t.ucoexNAME",List all unique TTPs used by either APT28 or Lazarus Group.
Existence and Set Operations Queries,What software does 'Sandworm Team' use that 'APT29' does not (Difference)?,MATCH (g1:UcoexGROUPS {ucoexNAME: 'Sandworm Team'})-[:UCOEXGROUPUSESSOFTWARE]->(s:UcoexSOFTWARE) WHERE NOT EXISTS { (g2:UcoexGROUPS {ucoexNAME: 'APT29'})-[:UCOEXGROUPUSESSOFTWARE]->(s) } RETURN s.ucoexNAME,What software in Sandworm Team's arsenal is not used by APT29?
Existence and Set Operations Queries,Find all 'Enterprise' ATT&CK techniques that are not used by any known group.,MATCH (t:UcoexMITREATTACK {ucoexDOMAIN: 'Enterprise'}) WHERE NOT (t)<-[:UCOEXGROUPUSESTECHNIQUE]-(:UcoexGROUPS) RETURN t.ucoexNAME,List all 'Enterprise' TTPs that are not associated with any known threat group.
Existence and Set Operations Queries,List all CAPEC patterns that have at least one prerequisite listed.,MATCH (ca:UcoexCAPEC) WHERE ca.ucoexPrerequisites IS NOT NULL AND size(ca.ucoexPrerequisites) > 0 RETURN ca.ucoexCAPEC_name,Identify all CAPEC patterns that have defined prerequisites.
Multi-hop Queries,What software is used in campaigns attributed to 'APT29'?,MATCH (g:UcoexGROUPS {ucoexNAME: 'APT29'})<-[:UCOEXATTRIBUTEDTO]-(c:UcoexCAMPAIGNS)-[:UCOEXCAMPAIGNUSESSOFTWARE]->(s:UcoexSOFTWARE) RETURN s.ucoexNAME,What software is used in campaigns run by 'APT29'?
